game_id,platform
1400110,Steam
1400140,Steam
1400150,Steam
1400170,Steam
1400180,Steam
1400190,Steam
1400210,Steam
1400260,Steam
1400270,Steam
1399370,Steam
1399380,Steam
1399400,Steam
1399440,Steam
1399460,Steam
1399480,Steam
1399540,Steam
1399600,Steam
1399620,Steam
1399630,Steam
1399660,Steam
1399670,Steam
1399680,Steam
1399690,Steam
1399700,Steam
1398860,Steam
1399750,Steam
1399760,Steam
1399080,Steam
1399140,Steam
1399150,Steam
1399160,Steam
1399170,Steam
1399180,Steam
1399200,Steam
1399210,Steam
1399230,Steam
1399240,Steam
1399250,Steam
1399270,Steam
1399280,Steam
1399300,Steam
1398590,Steam
1398600,Steam
1398630,Steam
1398660,Steam
1398670,Steam
1398680,Steam
1398690,Steam
1398710,Steam
1398720,Steam
1398730,Steam
1398740,Steam
1398750,Steam
1398790,Steam
1398820,Steam
1398890,Steam
1398900,Steam
1398910,Steam
1398950,Steam
1398990,Steam
1399030,Steam
1399040,Steam
1398110,Steam
1398120,Steam
1398130,Steam
1398210,Steam
1398220,Steam
1398270,Steam
1398280,Steam
1398290,Steam
1398300,Steam
1398390,Steam
1398400,Steam
1398410,Steam
1398420,Steam
1398440,Steam
1398470,Steam
1398500,Steam
1398510,Steam
1397620,Steam
1397650,Steam
1397690,Steam
1397710,Steam
1397720,Steam
1397760,Steam
1397790,Steam
1397800,Steam
1397810,Steam
1397820,Steam
1397830,Steam
1397850,Steam
1397920,Steam
1397940,Steam
1397960,Steam
1397980,Steam
1398070,Steam
1398080,Steam
1398100,Steam
1397130,Steam
1397140,Steam
1397160,Steam
1397170,Steam
1397180,Steam
1397230,Steam
1397280,Steam
1397290,Steam
1397300,Steam
1397350,Steam
1397360,Steam
1397390,Steam
1397470,Steam
1397530,Steam
1397540,Steam
1396890,Steam
1396950,Steam
1396980,Steam
1397000,Steam
1397010,Steam
1397030,Steam
1397040,Steam
1397050,Steam
1397060,Steam
1397110,Steam
1396190,Steam
1396240,Steam
1396260,Steam
1396290,Steam
1396350,Steam
1396380,Steam
1396390,Steam
1396450,Steam
1396480,Steam
1396490,Steam
1396500,Steam
1396580,Steam
1396610,Steam
1395780,Steam
1395830,Steam
1395850,Steam
1395890,Steam
1395900,Steam
1395920,Steam
1396010,Steam
1396020,Steam
1396050,Steam
1396140,Steam
1396150,Steam
1395230,Steam
1395250,Steam
1395270,Steam
1395310,Steam
1395400,Steam
1395410,Steam
1395420,Steam
1395450,Steam
1395470,Steam
1395480,Steam
1395510,Steam
1395540,Steam
1395560,Steam
1395600,Steam
1395630,Steam
1395660,Steam
1395710,Steam
1395750,Steam
1395760,Steam
1394750,Steam
1394760,Steam
1394800,Steam
1394810,Steam
1394830,Steam
1394880,Steam
1394940,Steam
1395000,Steam
1395010,Steam
1321520,Steam
1395020,Steam
1395030,Steam
1395080,Steam
1395120,Steam
1395170,Steam
1395180,Steam
1395190,Steam
1394270,Steam
1394320,Steam
1394330,Steam
1394340,Steam
1394370,Steam
1394400,Steam
1394410,Steam
1394420,Steam
1394460,Steam
1394480,Steam
1394490,Steam
1394500,Steam
1394510,Steam
1394520,Steam
1394540,Steam
1394550,Steam
1394570,Steam
1394580,Steam
1394600,Steam
1394640,Steam
1394680,Steam
1394700,Steam
1394720,Steam
1393750,Steam
1393770,Steam
1393780,Steam
1393800,Steam
1393810,Steam
1393820,Steam
1393850,Steam
1393910,Steam
1393950,Steam
1393960,Steam
1393970,Steam
1394030,Steam
1394040,Steam
1394060,Steam
1394090,Steam
1394100,Steam
1394130,Steam
1394140,Steam
1394150,Steam
1394210,Steam
1393270,Steam
1393310,Steam
1393340,Steam
1393350,Steam
1393360,Steam
1393370,Steam
1393380,Steam
1393410,Steam
1393420,Steam
1393460,Steam
1393480,Steam
1393490,Steam
1393500,Steam
1393550,Steam
1393560,Steam
1393580,Steam
1393610,Steam
1393640,Steam
1393650,Steam
1393680,Steam
1393690,Steam
1393740,Steam
1392760,Steam
1392770,Steam
1392790,Steam
1392960,Steam
1393010,Steam
1393080,Steam
1393100,Steam
1393120,Steam
1393210,Steam
1393220,Steam
1392280,Steam
1392340,Steam
1392410,Steam
1392430,Steam
1392460,Steam
1392490,Steam
1392510,Steam
1392520,Steam
1392540,Steam
1270390,Steam
1392560,Steam
1392570,Steam
1392590,Steam
1392600,Steam
1392650,Steam
1392660,Steam
1392670,Steam
1392700,Steam
1392750,Steam
1391800,Steam
1391940,Steam
1391960,Steam
1391990,Steam
1392030,Steam
1392040,Steam
1392060,Steam
1392070,Steam
1392080,Steam
1392130,Steam
1392140,Steam
1392150,Steam
1392170,Steam
1392190,Steam
1392230,Steam
1392240,Steam
1391350,Steam
1391400,Steam
1391430,Steam
1391450,Steam
1391490,Steam
1391530,Steam
1391540,Steam
1391550,Steam
1391570,Steam
1391580,Steam
1391600,Steam
1391610,Steam
1391620,Steam
1391630,Steam
1391650,Steam
1391690,Steam
1391710,Steam
1391720,Steam
1391740,Steam
1390830,Steam
1390850,Steam
1390860,Steam
1390870,Steam
1390880,Steam
1390920,Steam
1390960,Steam
1390970,Steam
1391050,Steam
1391090,Steam
1391130,Steam
1391200,Steam
1391250,Steam
