game_id,genres
1419440,Sports
1419440,Strategy
1418610,Action
1418610,Casual
1418610,Indie
1418610,Strategy
1418650,Action
1418650,Indie
1418670,Action
1418670,Adventure
1418670,Indie
1418670,Role Playing
1418670,Simulation
1418670,Strategy
1418760,Adventure
1418760,Indie
1418760,Role Playing
1418760,Simulation
1418760,Early Access
1418790,Animation & Modeling
1418790,Audio Production
1418790,Design & Illustration
1418790,Software Training
1418790,Utilities
1418790,Video Production
1418790,Web Publishing
1418830,Indie
1418140,Adventure
1418140,Casual
1418140,Indie
1418160,Adventure
1418160,Casual
1418160,Indie
1418160,Strategy
1418180,Adventure
1418180,Casual
1418190,Action
1418290,Indie
1418290,Role Playing
1418290,Simulation
1418310,Casual
1418310,Indie
1418320,Adventure
1418320,Casual
1418320,Indie
1418330,Adventure
1418330,Casual
1418330,Indie
1418350,Sports
1418360,Adventure
1418360,Indie
1418430,Indie
1418430,Simulation
1418460,Action
1418460,Adventure
1418460,Casual
1418460,Indie
1418470,Adventure
1418470,Casual
1418470,Indie
1418520,Adventure
1418520,Casual
1418520,Indie
1418540,Action
1418540,Adventure
1418540,Indie
1418570,Casual
1418570,Simulation
1417610,Adventure
1417610,Casual
1417610,Indie
1417640,Action
1417640,Indie
1417670,Action
1417670,Adventure
1417670,Casual
1417670,Simulation
1417690,Casual
1417690,Indie
1417690,Sports
1417720,Action
1417720,Adventure
1417720,Casual
1417720,Indie
1417720,Strategy
1417740,Action
1417740,Adventure
1417740,Indie
1417740,Massively Multiplayer
1417740,Early Access
1417750,Action
1417750,Indie
1417750,Role Playing
1417750,Simulation
1417770,Action
1417770,Adventure
1417770,Indie
1417880,Action
1417880,Adventure
1417880,Strategy
1417890,Adventure
1417890,Casual
1417890,Indie
1417930,Action
1417930,Adventure
1417930,Indie
1417940,Adventure
1417940,Casual
1417940,Free To Play
1417940,Indie
1417940,Strategy
1417950,Adventure
1417960,Casual
1417960,Indie
1417970,Adventure
1417970,Indie
1417970,Role Playing
1418010,Adventure
1418010,Indie
1418010,Role Playing
1418020,Action
1418020,Adventure
1418020,Casual
1418020,Indie
1418020,Role Playing
1418020,Simulation
1418020,Strategy
1418090,Casual
1418090,Indie
1418090,Simulation
1417130,Indie
1417150,Casual
1417150,Indie
1417150,Strategy
1417170,Strategy
1417200,Casual
1417200,Indie
1417230,Action
1417230,Casual
1417230,Indie
1417250,Casual
1417270,Casual
1417270,Indie
1417280,Action
1417280,Adventure
1417280,Casual
1417280,Indie
1417310,Strategy
1417320,Action
1417320,Indie
1417320,Strategy
1417400,Action
1417400,Casual
1417400,Role Playing
1417420,Action
1417420,Adventure
1417420,Casual
1417420,Indie
1417420,Strategy
1417450,Action
1417450,Casual
1417450,Indie
1417450,Early Access
1417490,Action
1417490,Free To Play
1417490,Indie
1417490,Massively Multiplayer
1417500,Action
1417500,Adventure
1417500,Simulation
1417540,Casual
1417540,Indie
1417590,Action
1417590,Adventure
1417590,Indie
1417590,Role Playing
1416690,Indie
1416690,Racing
1416690,Simulation
1416690,Sports
1416700,Casual
1416700,Indie
1416700,Strategy
1416710,Indie
1416710,Strategy
1416720,Casual
1416720,Indie
1416720,Simulation
1416720,Sports
1416720,Strategy
1416730,Casual
1416730,Free To Play
1416730,Indie
1416730,Strategy
1416760,Action
1416760,Indie
1416770,Casual
1416770,Indie
1416770,Strategy
1416820,Action
1416820,Indie
1416850,Adventure
1416850,Indie
1416850,Simulation
1416920,Indie
1416920,Role Playing
1416920,Simulation
1416930,Action
1416930,Adventure
1416930,Role Playing
1416930,Simulation
1416960,Action
1416960,Adventure
1416960,Casual
1416960,Indie
1416960,Role Playing
1416960,Simulation
1416970,Adventure
1416970,Casual
1416970,Simulation
1416980,Casual
1416980,Indie
1416980,Role Playing
1417010,Action
1417010,Free To Play
1417010,Indie
1417020,Action
1417020,Adventure
1417020,Indie
1417020,Role Playing
1417050,Action
1417050,Indie
1417090,Action
1416140,Action
1416140,Casual
1416140,Indie
1416150,Action
1416150,Adventure
1416150,Indie
1416160,Free To Play
1416160,Indie
1416160,Role Playing
1416180,Casual
1416180,Indie
1416180,Simulation
1416190,Software Training
1416190,Utilities
1416210,Indie
1416210,Role Playing
1416210,Simulation
1416220,Action
1416220,Indie
1416230,Action
1416230,Indie
1416240,Adventure
1416240,Casual
1416240,Indie
1416240,Role Playing
1416240,Simulation
1416260,Role Playing
1416260,Strategy
1416260,Free To Play
1416290,Action
1416290,Casual
1416290,Indie
1416340,Action
1416340,Casual
1416340,Indie
1416380,Action
1416380,Adventure
1416380,Indie
1416380,Early Access
1416430,Adventure
1416430,Casual
1416430,Strategy
1416450,Adventure
1416460,Adventure
1416520,Indie
1416520,Simulation
1416600,Action
1416600,Adventure
1416600,Indie
1415750,Action
1415750,Adventure
1415750,Casual
1415750,Indie
1415830,Action
1415830,Indie
1415840,Action
1415840,Adventure
1415840,Indie
1415840,Early Access
1415870,Casual
1415870,Role Playing
1415890,Action
1415890,Indie
1415920,Simulation
1415920,Sports
1415950,Action
1415950,Adventure
1415950,Indie
1416000,Action
1416000,Adventure
